snapshot_date,id,sku,name,price_list,price_sale,rating,reviews_count,product_url
2026-01-29,PA0009527789,9527789,"Peel and Stick Ruler, Assorted",1.99,1.29,4.0,1,https://www.princessauto.com/en/peel-and-stick-ruler-assorted/product/PA0009527789?ratings=reviews
2026-01-29,PA0009534173,9534173,Windshield Cleaning Pad with Handle,4.99,2.99,5.0,1,https://www.princessauto.com/en/windshield-cleaning-pad-with-handle/product/PA0009534173?ratings=reviews
2026-01-29,PA0009300153,9300153,Automotive Harness Fabric Tape,4.99,2.99,3.6,7,https://www.princessauto.com/en/automotive-harness-fabric-tape/product/PA0009300153?ratings=reviews
2026-01-29,PA0009534231,9534231,4 pk Adjustable Tarp Clips,6.99,3.99,5.0,2,https://www.princessauto.com/en/4-pk-adjustable-tarp-clips/product/PA0009534231?ratings=reviews
2026-01-29,PA0009510173,9510173,8 in. Sharpening Stone,4.99,3.49,5.0,1,https://www.princessauto.com/en/8-in-sharpening-stone/product/PA0009510173?ratings=reviews
2026-01-29,PA0008118234,8118234,WESTERN STEEL 600 lb 8 ft Foldable Utility Steel Ramp Hardware,159.99,109.99,4.1,39,https://www.princessauto.com/en/600-lb-8-ft-foldable-utility-steel-ramp-hardware/product/PA0008118234?ratings=reviews
2026-01-29,PA0009420365,9420365,8 in. Blemished Adjustable Wrench,5.99,3.99,0.0,0,https://www.princessauto.com/en/8-in-blemished-adjustable-wrench/product/PA0009420365?ratings=reviews
2026-01-29,PA0008864951,8864951,POWERFIST Angle Grinder Stand,39.99,29.99,4.3,63,https://www.princessauto.com/en/angle-grinder-stand/product/PA0008864951?ratings=reviews
2026-01-29,PA0009500158,9500158,4 pk Washer and Dryer Anti-Vibration Pads,9.99,6.99,0.0,0,https://www.princessauto.com/en/4-pk-washer-and-dryer-anti-vibration-pads/product/PA0009500158?ratings=reviews
2026-01-29,PA0008872152,8872152,MR. HEATER 40 pk Hand Warmers,21.99,17.99,4.7,63,https://www.princessauto.com/en/40-pk-hand-warmers/product/PA0008872152?ratings=reviews
2026-01-29,PA0009503699,9503699,POWERFIST 32 pc Precision Screwdriver Set,7.99,7.99,1.0,1,https://www.princessauto.com/en/32-pc-precision-screwdriver-set/product/PA0009503699?ratings=reviews
2026-01-29,PA0009112004,9112004,POWERFIST Inside Pipe Cutter,9.99,6.99,0.0,0,https://www.princessauto.com/en/inside-pipe-cutter/product/PA0009112004?ratings=reviews
2026-01-29,PA1000001987,UNKNOWN,WATSON GLOVES North Of 49 Lined Mitts,49.99,34.99,5.0,4,https://www.princessauto.com/en/north-of-49-lined-mitts/product/PA1000001987?ratings=reviews
2026-01-29,PA0009277021,9277021,2 pk 2 in. Mini Carabiners,2.99,0.99,4.5,27,https://www.princessauto.com/en/2-pk-2-in-mini-carabiners/product/PA0009277021?ratings=reviews
2026-01-29,PA0008437154,8437154,POWERFIST 36 pc Assorted Jigsaw Blade Set,29.99,9.99,4.8,24,https://www.princessauto.com/en/36-pc-assorted-jigsaw-blade-set/product/PA0008437154?ratings=reviews
2026-01-29,PA0009347568,9347568,500 pc Assorted Aluminum Rivets,14.99,8.99,4.8,8,https://www.princessauto.com/en/500-pc-assorted-aluminum-rivets/product/PA0009347568?ratings=reviews
2026-01-29,PA0009311598,9311598,5 pc Impact Torsion Screwdriver Bit Set,8.99,4.49,4.5,2,https://www.princessauto.com/en/5-pc-impact-torsion-screwdriver-bit-set/product/PA0009311598?ratings=reviews
2026-01-29,PA0009500273,9500273,Double-Sided Removable Tape,2.99,1.99,5.0,2,https://www.princessauto.com/en/double-sided-removable-tape/product/PA0009500273?ratings=reviews
2026-01-29,PA0009504531,9504531,2 pk Magnetic Key Holders,4.99,2.99,5.0,1,https://www.princessauto.com/en/2-pk-magnetic-key-holders/product/PA0009504531?ratings=reviews
2026-01-29,PA0009166265,9166265,2 in. x 120 yd Clear All-Weather Packing Tape,4.99,2.99,4.8,12,https://www.princessauto.com/en/2-in-x-120-yd-clear-all-weather-packing-tape/product/PA0009166265?ratings=reviews
2026-01-29,PA0009434713,9434713,5 pk Heavy Duty Utility Blades,2.49,1.49,0.0,0,https://www.princessauto.com/en/5-pk-heavy-duty-utility-blades/product/PA0009434713?ratings=reviews
2026-01-29,PA0009502709,9502709,Countertop and Bench Brush,3.99,2.79,5.0,1,https://www.princessauto.com/en/countertop-and-bench-brush/product/PA0009502709?ratings=reviews
2026-01-29,PA0009150954,9150954,10 pk 1 in. Magnetic Balls,9.99,4.99,3.9,13,https://www.princessauto.com/en/10-pk-1-in-magnetic-balls/product/PA0009150954?ratings=reviews
2026-01-29,PA0008640047,8640047,ENKAY 50 pk 12 in. Cable Ties,8.99,4.49,4.7,65,https://www.princessauto.com/en/50-pk-12-in-cable-ties/product/PA0008640047?ratings=reviews
2026-01-29,PA0009281999,9281999,5 pk Razor Blades,1.99,0.99,5.0,8,https://www.princessauto.com/en/5-pk-razor-blades/product/PA0009281999?ratings=reviews
